"","dates","team1","team2","pointspread","score1","score2","location"
"1","2017/09/10","ARIZONA","Detroit",-2,23,35,"V"
"2","2017/09/17","ARIZONA","Indianapolis",-7,16,13,"V"
"3","2017/09/25","ARIZONA","DALLAS",3,17,28,"H"
"4","2017/10/01","ARIZONA","SAN FRANCISCO",-6.5,18,15,"H"
"5","2017/10/08","ARIZONA","Philadelphia",6.5,7,34,"V"
"6","2017/10/15","ARIZONA","TAMPA BAY",2.5,38,33,"H"
"7","2017/10/22","ARIZONA","LA Rams",3,0,33,"N"
"8","2017/10/29","ARIZONA","  BYE WEEK",NA,NA,NA,NA
"9","2017/11/05","ARIZONA","San Francisco",-2.5,20,10,"V"
"10","2017/11/09","ARIZONA","SEATTLE",6,16,22,"H"
"11","2017/11/19","ARIZONA","Houston",2,21,31,"V"
"12","2017/11/26","ARIZONA","JACKSONVILLE",5.5,27,24,"H"
"13","2017/12/03","ARIZONA","LA RAMS",7,16,32,"H"
"14","2017/12/10","ARIZONA","TENNESSEE",2.5,12,7,"H"
"15","2017/12/17","ARIZONA","Washington",4.5,15,20,"V"
"16","2017/12/24","ARIZONA","NEW YORK GIANTS",-3.5,23,0,"H"
"17","2017/12/31","ARIZONA","Seattle",8.5,26,24,"V"
"18","2017/09/10","ATLANTA","Chicago",-6.5,23,17,"V"
"19","2017/09/17","ATLANTA","GREEN BAY",-3,34,23,"H"
"20","2017/09/24","ATLANTA","Detroit",-3,30,26,"V"
"21","2017/10/01","ATLANTA","BUFFALO",-8.5,17,23,"H"
"22","2017/10/08","ATLANTA","  BYE WEEK",NA,NA,NA,NA
"23","2017/10/15","ATLANTA","MIAMI",-13.5,17,20,"H"
"24","2017/10/22","ATLANTA","New England",3,7,23,"V"
"25","2017/10/29","ATLANTA","New York Jets",-6.5,25,20,"V"
"26","2017/11/05","ATLANTA","Carolina",-2.5,17,20,"V"
"27","2017/11/12","ATLANTA","DALLAS",-3.5,27,7,"H"
"28","2017/11/20","ATLANTA","Seattle",1.5,34,31,"V"
"29","2017/11/26","ATLANTA","TAMPA BAY",-10,34,20,"H"
"30","2017/12/03","ATLANTA","MINNESOTA",-2.5,9,14,"H"
"31","2017/12/07","ATLANTA","NEW ORLEANS",-2.5,20,17,"H"
"32","2017/12/18","ATLANTA","Tampa Bay",-6.5,24,21,"V"
"33","2017/12/24","ATLANTA","New Orleans",5.5,13,23,"V"
"34","2017/12/31","ATLANTA","CAROLINA",-4.5,22,10,"H"
"35","2018/01/06","ATLANTA","LA Rams",6,26,13,"V"
"36","2018/01/13","ATLANTA","Philadelphia",-2.5,10,15,"V"
"37","2017/09/10","BALTIMORE","Cincinnati",3,20,0,"V"
"38","2017/09/17","BALTIMORE","CLEVELAND",-7.5,24,10,"H"
"39","2017/09/24","BALTIMORE","Jacksonville",-3,7,44,"N"
"40","2017/10/01","BALTIMORE","PITTSBURGH",3.5,9,26,"H"
"41","2017/10/08","BALTIMORE","Oakland",3,30,17,"V"
"42","2017/10/15","BALTIMORE","CHICAGO",-6,24,27,"H"
"43","2017/10/22","BALTIMORE","Minnesota",5,16,24,"V"
"44","2017/10/26","BALTIMORE","MIAMI",-3,40,0,"H"
"45","2017/11/05","BALTIMORE","Tennessee",3.5,20,23,"V"
"46","2017/11/12","BALTIMORE","  BYE WEEK",NA,NA,NA,NA
"47","2017/11/19","BALTIMORE","Green Bay",-2.5,23,0,"V"
"48","2017/11/27","BALTIMORE","HOUSTON",-7.5,23,16,"H"
"49","2017/12/03","BALTIMORE","DETROIT",-2.5,44,20,"H"
"50","2017/12/10","BALTIMORE","Pittsburgh",5.5,38,39,"V"
"51","2017/12/17","BALTIMORE","Cleveland",-7,27,10,"V"
"52","2017/12/23","BALTIMORE","INDIANAPOLIS",-13.5,23,16,"H"
"53","2017/12/31","BALTIMORE","CINCINNATI",-8.5,27,31,"H"
"54","2017/09/10","BUFFALO","NEW YORK JETS",-8,21,12,"H"
"55","2017/09/17","BUFFALO","Carolina",6.5,3,9,"V"
"56","2017/09/24","BUFFALO","DENVER",3.5,26,16,"H"
"57","2017/10/01","BUFFALO","Atlanta",8.5,23,17,"V"
"58","2017/10/08","BUFFALO","Cincinnati",3,16,20,"V"
"59","2017/10/15","BUFFALO","  BYE WEEK",NA,NA,NA,NA
"60","2017/10/22","BUFFALO","TAMPA BAY",-3,30,27,"H"
"61","2017/10/29","BUFFALO","OAKLAND",-2,34,14,"H"
"62","2017/11/02","BUFFALO","New York Jets",-3,21,34,"V"
"63","2017/11/12","BUFFALO","NEW ORLEANS",2.5,10,47,"H"
"64","2017/11/19","BUFFALO","LA Chargers",6.5,24,54,"V"
"65","2017/11/26","BUFFALO","Kansas City",9,16,10,"V"
"66","2017/12/03","BUFFALO","NEW ENGLAND",8,3,23,"H"
"67","2017/12/10","BUFFALO","INDIANAPOLIS",-3.5,13,7,"H"
"68","2017/12/17","BUFFALO","MIAMI",-3.5,24,16,"H"
"69","2017/12/24","BUFFALO","New England",11.5,16,37,"V"
"70","2017/12/31","BUFFALO","Miami",-2.5,22,16,"V"
"71","2018/01/07","BUFFALO","Jacksonville",8.5,3,10,"V"
"72","2017/09/10","CAROLINA","San Francisco",-5,23,3,"V"
"73","2017/09/17","CAROLINA","BUFFALO",-6.5,9,3,"H"
"74","2017/09/24","CAROLINA","NEW ORLEANS",-5.5,13,34,"H"
"75","2017/10/01","CAROLINA","New England",9.5,33,30,"V"
"76","2017/10/08","CAROLINA","Detroit",2.5,27,24,"V"
"77","2017/10/12","CAROLINA","PHILADELPHIA",-3,23,28,"H"
"78","2017/10/22","CAROLINA","Chicago",-3,3,17,"V"
"79","2017/10/29","CAROLINA","Tampa Bay",1.5,17,3,"V"
"80","2017/11/05","CAROLINA","ATLANTA",2.5,20,17,"H"
"81","2017/11/13","CAROLINA","MIAMI",-9,45,21,"H"
"82","2017/11/19","CAROLINA","  BYE WEEK",NA,NA,NA,NA
"83","2017/11/26","CAROLINA","New York Jets",-5.5,35,27,"V"
"84","2017/12/03","CAROLINA","New Orleans",5.5,21,31,"V"
"85","2017/12/10","CAROLINA","MINNESOTA",2.5,31,24,"H"
"86","2017/12/17","CAROLINA","GREEN BAY",-3,31,24,"H"
"87","2017/12/24","CAROLINA","TAMPA BAY",-10,22,19,"H"
"88","2017/12/31","CAROLINA","Atlanta",4.5,10,22,"V"
"89","2018/01/07","CAROLINA","New Orleans",6.5,26,31,"V"
"90","2017/09/10","CHICAGO","ATLANTA",6.5,17,23,"H"
"91","2017/09/17","CHICAGO","Tampa Bay",7,7,29,"V"
"92","2017/09/24","CHICAGO","PITTSBURGH",7.5,23,17,"H"
"93","2017/09/28","CHICAGO","Green Bay",7.5,14,35,"V"
"94","2017/10/09","CHICAGO","MINNESOTA",3.5,17,20,"H"
