Timestamp,Orientation,Inclination,Time_of_day,Date
343805899.02,2.08,58.29,00:38:19,
343805901.42,-126.87,8.88,00:38:21,
343805903.42,-78.11,18.51,00:38:23,
343805905.42,147.53,23.49,00:38:25,
343805907.42,-65.56,11.39,00:38:27,
343805909.43,36.87,13.39,00:38:29,
343805911.43,11.31,9.81,00:38:31,
343805913.43,-163.61,19.88,00:38:33,
343805915.43,-146.77,34.74,00:38:35,
343805917.43,-5.19,10.43,00:38:37,
343805919.43,11.31,9.49,00:38:39,
343805921.44,-14.04,7.83,00:38:41,
343805923.44,26.57,6.38,00:38:43,
343805925.44,-10.30,20.44,00:38:45,
343805927.44,34.38,21.32,00:38:47,
343805929.44,32.74,15.75,00:38:49,
343805931.44,34.70,15.00,00:38:51,
343805933.45,40.60,17.36,00:38:53,
343805935.45,38.16,16.79,00:38:55,
343805937.45,35.84,21.28,00:38:57,
343805939.45,-163.30,9.87,00:38:59,
343805941.45,156.04,19.70,00:39:01,2011-11-24
343805943.46,63.43,2.13,00:39:03,
343805945.46,149.04,17.35,00:39:05,
343805947.46,57.99,8.79,00:39:07,
343805949.46,-180.00,4.84,00:39:09,
343805951.46,-163.69,50.67,00:39:11,
343805953.46,94.40,23.15,00:39:13,
343805955.47,50.96,56.11,00:39:15,
343805957.47,38.05,27.54,00:39:17,
343805959.47,36.87,29.05,00:39:19,
343805961.47,32.62,28.35,00:39:21,
343805963.47,35.91,36.72,00:39:23,
343805965.48,30.26,42.18,00:39:25,
343805967.48,17.24,28.47,00:39:27,
343805969.48,-61.70,13.82,00:39:29,
343805971.48,-37.57,15.05,00:39:31,
343805973.48,35.36,37.24,00:39:33,
343805975.68,53.13,36.19,00:39:35,
343805977.69,28.07,15.33,00:39:37,
343805979.69,141.34,103.18,00:39:39,
343805981.69,132.14,82.95,00:39:41,
343805984.16,84.99,76.25,00:39:44,
343805986.29,97.82,70.73,00:39:46,
343805988.30,113.46,81.15,00:39:48,
343805990.30,112.54,78.19,00:39:50,
343805992.30,105.95,78.36,00:39:52,
343805994.30,107.18,78.23,00:39:54,
343805996.30,104.74,77.56,00:39:56,
343805998.30,104.04,80.17,00:39:58,
343806000.31,106.22,79.13,00:40:00,2011-11-24
